Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
6h 4d 2h,5h,KhTs,0.713,32.69,4.3385,110.609,46.78,4.34,51.06,4.34,2.17,4.27
6h 4d 2h,5h,KhJs,0.428,33.55,4.42842,109.985,3.90,4.40,93.61,4.43,2.49,4.36
6h 4d 2h,5h,KhQs,0.187,34.82,4.53488,108.547,1.37,4.49,93.01,4.54,5.62,4.47
6h 4d 2h,5h,Ah2c,0.761,57.71,8.41958,121.57,17.50,8.42,79.71,8.42,2.79,8.29
6h 4d 2h,5h,Ah3c,0.828,90.15,16.2419,150.142,0.29,15.66,93.20,16.24,6.50,16.24
6h 4d 2h,5h,Ah4c,0.483,61.27,8.6933,118.243,95.16,8.70,1.56,8.64,3.28,8.65
6h 4d 2h,5h,Ah5c,0.826,66.29,9.24445,116.211,2.81,9.24,4.91,9.20,92.28,9.25
6h 4d 2h,5h,Ah6c,0.992,70.33,9.96009,118.014,0.38,9.64,93.11,9.96,6.50,9.96
6h 4d 2h,5h,Ah7c,0.934,47.91,8.82436,153.476,23.83,8.83,75.99,8.83,0.18,7.94
6h 4d 2h,5h,Ah8c,0.860,46.33,8.24833,148.352,8.76,8.24,91.09,8.25,0.15,7.18
6h 4d 2h,5h,Ah9c,0.709,43.30,7.45951,143.554,22.03,7.46,77.79,7.46,0.18,6.44
6h 4d 2h,5h,AhTc,0.632,46.12,7.63286,137.921,0.55,7.60,99.26,7.63,0.19,6.75
6h 4d 2h,5h,AhJc,0.727,49.12,7.84052,133.021,0.74,7.80,99.03,7.84,0.23,7.11
6h 4d 2h,5h,AhQc,0.701,52.31,8.07813,128.681,1.07,8.04,98.57,8.08,0.36,7.56
6h 4d 2h,5h,AhKc,0.677,55.82,8.38651,125.211,18.14,8.38,81.14,8.39,0.73,8.06
6h 4d 2h,5h,AhAc,0.998,81.68,12.7943,130.536,0.35,12.30,61.33,12.80,38.32,12.79
6h 4d 2h,5h,Ah2d,0.582,57.72,8.42116,121.578,17.62,8.42,79.58,8.43,2.79,8.29
6h 4d 2h,5h,Ah3d,0.749,90.12,16.2529,150.282,0.29,15.66,94.87,16.26,4.85,16.25
6h 4d 2h,5h,Ah5d,0.813,66.35,9.25654,116.253,1.36,9.25,4.80,9.21,93.84,9.26
