Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,Js,KhJd,0.527,96.23,17.852,154.596,68.78,17.82,30.94,17.92,0.28,19.30
Jh 4d 2h,Js,KhQd,0.368,30.08,1.73825,48.1541,0.42,3.93,0.32,3.81,99.26,1.72
Jh 4d 2h,Js,KhKd,0.995,81.70,12.1123,123.546,31.58,11.49,6.50,11.54,61.93,12.49
Jh 4d 2h,Js,Kh3h,0.967,35.75,4.72601,110.151,1.99,6.10,13.35,6.20,84.66,4.46
Jh 4d 2h,Js,Kh4h,0.992,71.56,9.65496,112.436,0.17,8.82,99.29,9.66,0.54,9.69
Jh 4d 2h,Js,Kh5h,0.975,37.42,5.66155,126.075,19.23,6.32,38.43,6.27,42.34,4.81
Jh 4d 2h,Js,Kh6h,0.961,39.11,5.74876,122.495,19.53,6.40,38.93,6.33,41.54,4.90
Jh 4d 2h,Js,Kh7h,0.929,40.34,6.26968,129.518,66.84,6.47,21.25,6.39,11.91,4.93
Jh 4d 2h,Js,Kh8h,0.841,41.50,6.25357,125.562,59.81,6.50,25.44,6.42,14.75,4.99
Jh 4d 2h,Js,Kh9h,0.841,42.70,6.21347,121.273,47.02,6.63,29.58,6.55,23.40,4.95
Jh 4d 2h,Js,KhTh,0.961,43.88,5.89895,112.038,31.91,6.66,20.78,6.59,47.31,5.08
Jh 4d 2h,Js,KhQh,0.849,44.46,5.11665,95.9023,0.78,6.64,0.27,6.43,98.95,5.10
Jh 4d 2h,Js,Kh7s,0.960,24.77,1.98315,66.7114,7.69,3.81,11.77,3.72,80.53,1.56
Jh 4d 2h,Js,Kh8s,0.819,26.16,2.48536,79.1813,29.52,3.81,12.88,3.70,57.60,1.53
Jh 4d 2h,Js,Kh9s,0.584,27.70,2.78283,83.7233,42.31,3.83,9.69,3.72,47.99,1.67
