Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2c,Qc,7s7c,0.808,34.13,1.06361,51.9439,2.40,1.05,25.00,1.06,72.60,1.06
Ah 8d 2c,Qc,7s7d,0.824,33.93,1.04139,51.1483,0.90,0.99,1.09,1.03,98.01,1.04
Ah 8d 2c,Qc,7s7h,0.804,33.96,1.04442,51.2518,0.86,0.98,1.05,1.02,98.08,1.05
Ah 8d 2c,Qc,7s6s,0.749,5.13,0.53299,173.192,1.11,0.47,13.36,0.53,85.54,0.53
Ah 8d 2c,Qc,8s8c,0.336,95.39,11.7146,204.685,87.04,11.72,12.63,11.71,0.33,11.33
Ah 8d 2c,Qc,8s8h,0.313,95.22,11.7066,204.9,81.80,11.71,17.81,11.71,0.39,11.36
Ah 8d 2c,Qc,8s7s,0.668,41.13,1.4811,60.0195,2.09,1.46,61.60,1.48,36.31,1.48
Ah 8d 2c,Qc,9s9c,0.712,45.73,1.64399,59.9162,0.22,1.18,0.68,1.62,99.10,1.65
Ah 8d 2c,Qc,9s9d,0.751,45.39,1.61935,59.4576,0.21,1.10,0.23,1.58,99.56,1.62
Ah 8d 2c,Qc,9s9h,0.715,45.48,1.62007,59.3752,0.21,1.11,0.24,1.57,99.55,1.62
Ah 8d 2c,Qc,9s8s,0.956,42.58,1.48202,58.0068,0.61,1.36,0.74,1.44,98.65,1.48
Ah 8d 2c,Qc,TsTc,0.767,48.51,1.78198,61.2179,0.20,1.29,1.19,1.74,98.61,1.78
Ah 8d 2c,Qc,TsTd,0.813,48.16,1.73499,60.0424,0.21,1.19,0.32,1.69,99.47,1.74
Ah 8d 2c,Qc,TsTh,0.816,48.18,1.73379,59.974,0.21,1.19,0.33,1.70,99.46,1.74
Ah 8d 2c,Qc,Ts8s,0.848,43.93,1.53519,58.2408,0.97,1.47,3.76,1.53,95.27,1.54
Ah 8d 2c,Qc,Ts9s,0.597,15.17,0.98291,107.967,22.25,0.98,62.54,0.98,15.21,0.98
Ah 8d 2c,Qc,JsTc,0.667,26.37,1.87088,118.251,59.68,1.87,25.18,1.87,15.14,1.88
