Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 21%,RAISE 21 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,7h,AcTd,0.689,44.41,0.53023,9.94958,2.43,0.54,97.10,0.53,0.46,0.00
Ah 8d 2c,7h,AcJd,0.722,47.44,1.64776,28.9435,0.17,1.07,99.76,1.65,0.07,0.00
Ah 8d 2c,7h,Ac2h,0.593,68.15,11.1368,136.177,0.21,9.88,99.79,11.14,0.00,0.00
Ah 8d 2c,7h,Ac3h,0.908,43.29,0.11027,2.12278,0.25,0.07,97.16,0.11,2.58,0.00
Ah 8d 2c,7h,Ac4h,0.900,43.19,0.08057,1.55477,0.12,-0.05,96.24,0.08,3.64,0.00
Ah 8d 2c,7h,Ac5h,0.841,42.90,0.01955,0.37967,0.12,-0.07,96.31,0.02,3.57,0.00
Ah 8d 2c,7h,Ac6h,0.879,43.45,0.11608,2.22624,1.44,0.11,95.65,0.12,2.91,0.00
Ah 8d 2c,7h,Ac8h,0.402,78.82,17.2714,182.594,16.06,17.27,83.94,17.27,0.01,0.00
Ah 8d 2c,7h,Ac9h,0.538,41.98,0.0324,0.64315,1.51,-0.08,93.53,0.04,4.96,0.00
Ah 8d 2c,7h,AcTh,0.669,43.01,0.1603,3.10565,4.03,0.16,95.38,0.16,0.59,0.00
Ah 8d 2c,7h,AcJh,0.665,45.75,1.30066,23.6896,0.17,0.66,99.76,1.30,0.07,0.00
Ah 8d 2c,7h,Ac2s,0.654,68.16,11.1002,135.71,0.22,9.96,99.78,11.10,0.00,0.00
Ah 8d 2c,7h,Ac3s,0.811,43.25,0.00405,0.07794,1.48,-0.02,87.29,0.00,11.23,0.00
Ah 8d 2c,7h,Ac4s,0.791,43.23,0.00217,0.04179,0.59,-0.10,85.74,0.00,13.67,0.00
Ah 8d 2c,7h,Ac5s,0.802,43.16,0.00727,0.1403,0.30,-0.01,75.45,0.01,24.25,0.00
Ah 8d 2c,7h,Ac6s,0.835,43.42,-0.00655,-0.12577,4.23,-0.03,62.65,-0.01,33.12,0.00
Ah 8d 2c,7h,Ac7s,0.709,68.13,11.2877,138.073,0.14,9.17,99.86,11.29,0.00,0.00
