Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,Td,AhQc,0.377,45.68,6.02729,109.962,93.41,6.06,3.27,6.29,3.32,4.79
Jh 8d 2h,Td,AhKc,0.060,39.58,3.30857,69.6527,1.17,4.94,1.10,4.82,97.73,3.27
Jh 8d 2h,Td,AhAc,0.996,78.03,10.7397,114.689,54.25,10.10,16.82,11.23,28.92,11.65
Jh 8d 2h,Td,Ah2d,0.797,36.38,2.70354,61.9345,28.96,4.35,1.14,4.11,69.90,2.00
Jh 8d 2h,Td,Ah3d,0.970,20.70,1.3168,53.023,1.66,3.08,29.01,3.03,69.34,0.56
Jh 8d 2h,Td,Ah4d,0.966,20.70,1.3752,55.3718,1.66,3.08,31.57,3.03,66.77,0.55
Jh 8d 2h,Td,Ah5d,0.947,21.09,0.638,25.2059,1.50,3.05,3.24,3.01,95.26,0.52
Jh 8d 2h,Td,Ah6d,0.697,22.22,0.54184,20.3201,0.38,2.97,0.30,2.93,99.33,0.53
Jh 8d 2h,Td,Ah7d,0.893,29.16,1.44962,41.4214,0.60,3.71,0.49,3.51,98.91,1.43
Jh 8d 2h,Td,Ah9d,0.765,41.45,5.59006,112.391,98.71,5.60,0.33,5.49,0.96,4.09
Jh 8d 2h,Td,AhJd,0.856,79.11,11.0725,116.631,1.07,9.89,38.95,10.64,59.98,11.37
Jh 8d 2h,Td,AhQd,0.251,45.72,6.0069,109.489,93.16,6.06,3.16,6.10,3.68,4.61
Jh 8d 2h,Td,AhKd,0.047,39.98,5.05749,105.424,2.37,5.12,95.61,5.09,2.03,3.43
Jh 8d 2h,Td,AhAd,0.995,78.68,10.4143,110.303,83.86,10.20,13.26,11.41,2.88,12.01
Jh 8d 2h,Td,Ah3h,0.994,37.15,6.21328,139.377,60.23,6.53,26.54,6.25,13.23,4.69
Jh 8d 2h,Td,Ah4h,0.993,37.14,6.21031,139.339,59.14,6.53,27.79,6.24,13.07,4.69
Jh 8d 2h,Td,Ah5h,0.992,37.24,6.17859,138.272,66.64,6.48,20.09,6.20,13.27,4.63
Jh 8d 2h,Td,Ah6h,0.978,37.98,4.60666,101.077,2.53,6.44,1.83,6.06,95.64,4.53
Jh 8d 2h,Td,Ah7h,0.981,43.61,7.09901,135.662,82.75,7.21,14.64,6.80,2.61,5.35
Jh 8d 2h,Td,Ah8h,0.922,62.78,7.41856,98.4658,0.12,9.38,0.67,8.34,99.21,7.41
Jh 8d 2h,Td,Ah9h,0.965,53.08,8.90441,139.797,67.63,9.03,32.11,8.66,0.26,7.05
Jh 8d 2h,Td,AhTh,0.837,74.12,10.9521,123.134,26.41,11.50,68.84,10.74,4.75,11.05
Jh 8d 2h,Td,AhQh,0.797,56.96,9.19676,134.547,80.14,9.18,19.62,9.30,0.24,7.82
Jh 8d 2h,Td,AhKh,0.603,52.30,8.45844,134.785,88.97,8.49,10.76,8.26,0.27,6.71
Jh 8d 2h,Td,Ah2s,0.898,36.07,1.91411,44.2169,1.56,4.23,0.58,3.99,97.86,1.86
Jh 8d 2h,Td,Ah3s,0.976,20.49,0.64542,26.2531,1.36,3.04,2.42,3.00,96.21,0.55
