Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,3h,4s4h,0.784,35.66,3.22806,75.4456,1.05,2.81,2.93,2.86,96.02,3.24
Jh 8d 2h,3h,5s5c,0.094,25.63,1.6743,54.4293,87.56,1.60,1.11,1.52,11.33,2.28
Jh 8d 2h,3h,5s5d,0.118,25.46,1.73319,56.7237,86.47,1.66,1.15,1.56,12.37,2.28
Jh 8d 2h,3h,5s5h,0.648,35.91,3.12553,72.5272,3.36,2.97,15.90,2.92,80.75,3.17
Jh 8d 2h,3h,6s6c,0.027,26.66,2.33361,72.9532,0.78,1.49,0.51,1.44,98.70,2.34
Jh 8d 2h,3h,6s6d,0.028,26.66,2.33589,73.0244,0.76,1.49,0.50,1.44,98.74,2.35
Jh 8d 2h,3h,6s6h,0.395,37.24,3.20221,71.6621,0.88,3.04,1.01,3.06,98.11,3.21
Jh 8d 2h,3h,6s5s,0.798,10.89,1.19038,91.1092,9.65,0.70,48.63,0.90,41.72,1.64
Jh 8d 2h,3h,7s7c,0.020,30.08,2.49252,69.0464,0.45,1.68,0.29,1.79,99.27,2.50
Jh 8d 2h,3h,7s7d,0.019,29.44,2.47323,70.0032,0.56,1.66,0.37,1.79,99.08,2.48
Jh 8d 2h,3h,7s7h,0.025,40.73,3.58656,73.3764,0.94,3.46,2.09,3.56,96.97,3.59
Jh 8d 2h,3h,7s5s,0.685,3.54,-0.29963,-70.5171,53.16,-0.46,40.86,-0.20,5.98,0.44
Jh 8d 2h,3h,7s6s,0.578,3.51,0.03729,8.85988,20.29,-0.63,6.93,-0.37,72.77,0.26
Jh 8d 2h,3h,8s8c,0.999,82.80,15.3112,154.097,22.75,15.31,76.75,15.31,0.50,14.66
Jh 8d 2h,3h,8s8h,0.999,87.48,16.483,157.011,8.06,16.38,91.48,16.49,0.46,16.02
Jh 8d 2h,3h,8s6s,0.861,35.89,2.99276,69.4977,0.27,2.51,0.27,2.48,99.46,3.00
Jh 8d 2h,3h,8s7s,0.720,35.93,2.97615,69.0291,0.30,2.44,0.29,2.54,99.42,2.98
Jh 8d 2h,3h,9s8c,0.223,37.96,3.81874,83.8347,0.19,2.40,0.13,2.42,99.67,3.82
Jh 8d 2h,3h,9s9c,0.277,44.11,4.62533,87.3864,0.19,3.24,0.15,3.35,99.66,4.63
Jh 8d 2h,3h,9s9d,0.391,44.17,4.6009,86.8035,0.19,3.24,0.15,3.35,99.66,4.61
Jh 8d 2h,3h,9s8h,0.472,47.92,4.79317,83.3564,21.46,4.81,55.85,4.64,22.69,5.15
Jh 8d 2h,3h,9s9h,0.538,54.20,5.37329,82.6118,0.77,5.43,38.91,5.26,60.32,5.45
Jh 8d 2h,3h,9s6s,0.491,4.39,0.39292,74.6336,2.25,-0.70,2.98,-0.30,94.77,0.44
